"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Cdk11b",0.0497859719979288,0.362221292198835,0.84,0.96,1,0.0548772921531886
"Tmeff1",0.0504776695537408,0.309539085550859,0.81,0.92,1,0.0556187373694745
"Gm12531",0.0521839303512847,0.257373799081804,0.21,0.13,1,0.0574770967406119
"Tma7",0.0525171941726842,1.00671060479376,0.94,0.99,1,0.0578223611678894
"Ubxn4",0.0539081629701684,0.29461617132299,0.84,0.96,1,0.0593314785364965
"Ran",0.0540261827437028,0.296631330877383,0.95,1,1,0.0594389754404354
"Ghitm",0.054937733927355,0.332701370501537,0.93,0.98,1,0.0604190966874262
"AC151902.2",0.0552225819366465,0.501107943134097,0.12,0.05,1,0.0607095076541002
"D330041H03Rik",0.0556007063684746,1.05027659177151,0.7,0.87,1,0.0611022059075675
"Zfp322a",0.0561428073679994,0.49803743354359,0.64,0.92,1,0.0616747425054255
"R3hdm2",0.0579234480719923,0.467123594624892,0.69,0.81,1,0.063606914217402
"Sgk1",0.0584915467156706,0.40350602079424,0.64,0.84,1,0.0642066170448981
"Actr2",0.0587200049428307,0.312053551553598,0.88,0.98,1,0.0644331834853525
"Ktn1",0.0590750057234652,0.312831069028782,0.92,0.98,1,0.0647983821698242
"Gm23563",0.0600402306886396,0.379230554634295,0.22,0.14,1,0.0658324000906593
"U2af1l4",0.0613001983485932,0.30923966204603,0.61,0.94,1,0.0671886977021541
"Snx6",0.0625386356123919,0.321162773084281,0.77,0.98,1,0.068520388080944
"Itpr1",0.0650438671416498,0.299074539315618,0.89,0.99,1,0.0712385211551403
"C1d",0.0709742318122932,1.1030699674661,0.8,0.98,1,0.0777045468979417
"1810037I17Rik",0.0710754456774782,0.363196539111119,0.86,0.97,1,0.0777862033810093
"Zcchc17",0.0735808481586203,0.267178209106646,0.89,0.93,1,0.0804979990529326
"CT030181.1",0.0746754117342655,0.537469064749369,0.98,1,1,0.0816648737086445
"Clk4",0.0750749454987875,0.481564834888298,0.78,0.94,1,0.082071076273188
"Phyh",0.0755701591874999,0.278062842185644,0.61,0.6,1,0.0825815319815515
"Gas5",0.0758777407783819,0.295744681031936,0.99,1,1,0.0828866420395114
"Kif2a",0.0782890094322828,0.388119259293923,0.72,0.99,1,0.0854886716081114
"Fcor",0.0786894113222422,0.7562651878767,0.54,0.53,1,0.0858779529403187
"Vps50",0.0787043067515348,0.253857583817599,0.81,0.9,1,0.0858779529403187
"Cox7c",0.079579320290653,0.305705007331301,0.98,1,1,0.0868002967023888
"Acta2",0.0808206226484824,0.294053423123673,0.43,0.36,1,0.0881213283897786
"Atp6v1d",0.082860253777153,0.434454687746459,0.88,0.93,1,0.0903114930160687
"Ylpm1",0.0834829249131518,0.394501796184466,0.8,0.93,1,0.0909562191985515
"Klc1",0.084286939162598,0.267926474529257,0.71,0.84,1,0.0917979676711218
"Ppcdc",0.0859571829133062,0.528197500428997,0.42,0.65,1,0.0935821585127721
"Gm43678",0.0860303572132424,0.294247438917865,0.19,0.12,1,0.0936269275036815
"Ergic2",0.0869411401986739,0.321781249825072,0.75,0.96,1,0.0945828940485387
"Tsc22d1",0.0877955646347884,0.338013680690866,0.88,0.96,1,0.0954768593813168
"Nme1",0.0878503151478909,0.316691079876892,0.9,0.99,1,0.0955008450119052
"Scfd2",0.0880256529829739,0.251770385473274,0.53,0.4,1,0.0956558528137154
"Mfsd8",0.089972117740887,0.523543710181001,0.47,0.38,1,0.0977346805210602
"AC153522.1",0.0910327404132137,0.263491139621202,0.44,0.49,1,0.0988500500918205
"Srek1",0.0917974475303089,0.278271148281165,0.95,0.97,1,0.09964338321666
"Thg1l",0.0920432549595512,0.262783364518786,0.99,1,1,0.0998730860835249
"1700021F05Rik",0.0942059103488336,0.343705484795,0.59,0.94,1,0.102181754225378
"Bcap29",0.0958997100381432,0.285633608754338,0.56,0.68,1,0.103980346333117
"Ackr3",0.0969578751688972,0.266362882266408,0.35,0.24,1,0.105088665442801
"Tia1",0.103785761003626,0.428327153881389,0.85,0.96,1,0.112447406487979
"Micu3",0.104254128588101,0.276607077906959,0.81,0.98,1,0.112912980943954
"Khdrbs3",0.105043092303177,0.284481296941999,0.59,0.71,1,0.113725304899029
"Psenen",0.106436211992646,0.499894469329669,0.73,0.96,1,0.115190876335872
"Gm14434",0.108488995174624,0.920383467586352,0.64,0.75,1,0.117369020335214
"B2m",0.109778097570862,0.600748225433554,0.72,0.99,1,0.11871966790244
"Sccpdh",0.109991955118329,0.381351593667933,0.85,0.85,1,0.118906921132731
"Gm20498",0.112895565096763,0.307219121801401,0.49,0.91,1,0.12200071981045
"A930005H10Rik",0.11445984837064,0.271657246357077,0.37,0.56,1,0.123620372935169
"Lancl1",0.114478982810555,0.329006083919378,0.74,0.78,1,0.123620372935169
"Sdha",0.116856747489978,1.01459073306939,0.83,0.98,1,0.126141374507844
"Wdsub1",0.120307682508792,0.356398723210264,0.31,0.47,1,0.129818522574134
"Plgrkt",0.122868998385979,0.346101761595957,0.5,0.54,1,0.132533361996102
"Ctsh",0.123623984527059,0.399629100733845,0.24,0.17,1,0.133298508233127
"Pla2g4a",0.123868378502908,0.250006531969486,0.22,0.15,1,0.133512743028412
"Calm2",0.126428205746774,0.875748896807405,1,1,1,0.136221611577398
"Ccdc25",0.130543625703116,0.252610246600299,0.67,0.94,1,0.140603956739971
"Fuom",0.131380159106895,0.466698398704528,0.53,0.49,1,0.141452799392275
"Ube2b",0.133802324829127,0.260647996175771,0.88,0.98,1,0.144007586892365
"Usmg5",0.133865765129768,0.567701070946816,0.95,1,1,0.144022799242745
"AY036118",0.139246411721424,-0.730759822009042,0.68,0.71,1,0.149756542208497
"Irf5",0.145074669839221,0.501349749034111,0.24,0.19,1,0.155967283989829
"Psma4",0.145252151081306,1.17770082825716,0.87,0.99,1,0.156100637714678
"Fars2",0.145739406056709,0.310265876167192,0.48,0.7,1,0.156566680798693
"Gng12",0.147499908315735,0.284200153213175,0.69,0.67,1,0.158399717717008
"Nsrp1",0.149358786379406,0.269829944304918,0.69,0.96,1,0.160337013970689
"Dpm1",0.152499683189831,0.329561193775598,0.88,1,1,0.16364863137307
"Exoc3",0.154480377844642,0.520658433558004,0.86,0.95,1,0.165713251444803
"Alkbh8",0.155716788964762,0.258583093917772,0.66,0.93,1,0.166963355464489
"Gm25072",0.155760062869131,0.99976103244551,0.32,0.29,1,0.166963355464489
"Gde1",0.156387501831341,0.291015618921086,0.8,0.95,1,0.16757442877819
"Gls",0.158020230048071,0.275782466118189,0.86,0.94,1,0.169261859908477
"Slmap",0.158737818618678,0.266915157747866,0.65,0.9,1,0.16996817015585
"Pomp",0.159654773425199,0.32149091681189,0.91,1,1,0.170887355505682
"Fxyd5",0.162847470429028,0.261455086187482,0.21,0.32,1,0.174240828250253
"Bet1",0.164836801602213,0.428778340454097,0.65,0.89,1,0.176304759238397
"Erg28",0.16658323826355,0.41826607004115,0.64,0.94,1,0.178107481320581
"Grn",0.167012924107721,0.271329278616763,0.82,0.87,1,0.178501555550184
"Timm22",0.169315597226028,0.503223042358102,0.99,1,1,0.180896437270383
"Gm4924",0.174271142539902,0.371657735979533,0.52,0.79,1,0.186122854610258
"Car2",0.175134591672253,1.90375587320431,0.82,0.95,1,0.186976660188103
"S100a1",0.179470641131676,0.544603901618558,0.47,0.5,1,0.191535894316999
"Iqcc",0.182464504357753,0.318934546330535,0.44,0.7,1,0.194659904028122
"Cox17",0.182565728734315,0.303364181410818,0.93,1,1,0.194696784823999
"Ier3ip1",0.184049823195005,0.635206132091867,0.85,0.98,1,0.196207858960806
"Pisd-ps2",0.184500180606589,0.288535210749557,0.53,0.71,1,0.196616208519462
"Ube3a",0.18457420139941,0.38289998072299,0.93,0.99,1,0.196623356049481
"Ly6e",0.189018120403749,0.382081440776192,0.83,0.81,1,0.201270061704261
"Matr3",0.189073964161757,0.304782012784769,0.97,1,1,0.201270061704261
"Scoc",0.19222610931207,0.515842957925523,0.84,0.98,1,0.20455098918053
"Taf13",0.194656475567465,0.797365837635999,0.69,0.9,1,0.207061749866193
"Gm13632",0.198654063620698,0.662607686563323,0.22,0.18,1,0.211237175040429
"Gcc2",0.201151544023418,0.329098283529853,0.78,0.85,1,0.213815014589666
