"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"AFF3",0.699448404834713,-0.301740573306515,0.48,0.446,1,0.731932293408862
"LMNA",0.699619060742968,0.25706247649753,0.425,0.405,1,0.731932293408862
"C1orf50",0.705457618033465,-0.307819091770997,0.134,0.149,1,0.737174952949482
"ARFIP1",0.706143974437234,-0.252370456831018,0.22,0.216,1,0.737174952949482
"CNOT1",0.71743787327447,-0.303749047125649,0.63,0.568,1,0.748163263992862
"COA3",0.722027730147079,-0.265597162412545,0.315,0.27,1,0.75214439482701
"LINC01684",0.726987242227001,-0.334819121088707,0.654,0.608,1,0.756501681548182
"NFE2L2",0.730444037824401,0.287938098529134,0.362,0.378,1,0.759287612423657
"PLPBP",0.73250414704312,-0.273982417222099,0.331,0.324,1,0.760617312601279
"RPL22L1",0.736035364173678,-0.262452084184846,0.299,0.297,1,0.763470122156723
"ZCCHC10",0.737769670694506,0.268560123770932,0.213,0.216,1,0.764454956655797
"EMC3",0.741070994540228,-0.436176291883876,0.669,0.608,1,0.767059669162786
"SCNM1",0.747368188499025,-0.290494149891663,0.677,0.622,1,0.772756492142304
"RABAC1",0.763354059883205,-0.2813673805021,0.496,0.378,1,0.788448413919662
"TRIM21",0.76957914542857,-0.256379586527063,0.276,0.27,1,0.794036109796003
"HP1BP3",0.773768543392986,-0.254799488492024,0.772,0.73,1,0.7975138214442
"TMEM19",0.779933010436129,-0.254848143093973,0.598,0.554,1,0.803017708419439
"USP28",0.782330548768239,-0.272635651068513,0.433,0.351,1,0.803803215046237
"HEXB",0.782346455712354,-0.253627707693036,0.252,0.257,1,0.803803215046237
"C1orf27",0.785094056070593,-0.25264816076735,0.189,0.162,1,0.805776196641473
"GUSBP1",0.794160580456964,-0.292303844695188,0.276,0.27,1,0.813790261786008
"SLC25A3",0.795352402848898,-0.265087765775072,0.78,0.743,1,0.813790261786008
"GSTM2",0.79540896223848,-0.318796049338219,0.291,0.284,1,0.813790261786008
"C11orf98",0.796406330385762,-0.27948178151503,0.307,0.297,1,0.813955682891639
"SSBP1",0.799232169362536,-0.441668805658774,0.654,0.581,1,0.815987560753784
"AKR1B1",0.814820732505675,-0.337554078728335,0.638,0.581,1,0.830640585377527
"IFI35",0.815289938009154,-0.367891249121774,0.583,0.486,1,0.830640585377527
"HDLBP",0.823669153079085,-0.277741706678047,0.52,0.514,1,0.83830068453399
"ACTR10",0.829271699380983,0.268155686036845,0.685,0.703,1,0.843121748639956
"EIF4E",0.846420633389024,-0.250353613655028,0.913,0.878,1,0.859659746528581
"WDR12",0.848145313228299,-0.36615782441705,0.764,0.703,1,0.860514099046212
"KLF13",0.871502800895207,-0.325701222024442,0.165,0.162,1,0.883292120782447
"MAGOHB",0.874107486454614,-0.312768144115843,0.197,0.189,1,0.885011114144277
"RAB27A",0.876863888048895,-0.30488414749492,0.622,0.541,1,0.886879986458592
"ZNF683",0.8848640109823,-0.312426139308147,0.189,0.162,1,0.894043098233154
"SNRPA1",0.886987478666674,-0.255588896872546,0.598,0.568,1,0.895259900747503
"PDCD6IP",0.906414873329672,-0.28329333019395,0.512,0.446,1,0.913921414723706
"PSMB8-AS1",0.912622085025341,-0.385480912991986,0.724,0.635,1,0.919228449653239
"UEVLD",0.945773226958301,-0.335950412750924,0.685,0.608,1,0.951394315105525
"MRPS18C",0.946510360715866,-0.256608075081861,0.567,0.541,1,0.951394315105525
"UBXN8",0.95802905107088,-0.261211996113794,0.126,0.122,1,0.961979686333028
"TEX10",0.960672573613339,-0.256965436396109,0.283,0.27,1,0.963640666013792
"SVIL",0.964833496122384,-0.294189298814348,0.26,0.257,1,0.966818750229632
"TMEM14B",0.970706220451191,-0.258712955987925,0.78,0.716,1,0.971703863021028
"METTL3",0.987297248265051,-0.281934726709292,0.567,0.473,1,0.987297248265051
