"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"Mcm10",1.07825012629731e-36,-0.302961858556762,0.02,0.97,2.59901410442704e-32,7.16882797437237e-35
"Carnmt1",1.11874204207446e-36,-0.27344559129698,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Cdc45",1.11874204207446e-36,-0.287258359429465,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Bub1b",1.11874204207446e-36,-0.345696771581354,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Dnph1",1.11874204207446e-36,-0.367897186080086,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Cdca3",1.11874204207446e-36,-0.574389653393149,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Rpl15-ps3",1.11874204207446e-36,-2.49275769796466,0,0.96,2.69661581821628e-32,7.16882797437237e-35
"Gm2000",1.16712352314085e-36,-2.09376534785318,0.17,1,2.81323454017869e-32,7.36199634831186e-35
"Lsm4",1.20799915523397e-36,-1.01322453875776,0.08,1,2.91176116377597e-32,7.5026039841224e-35
"Gm7488",1.28499372650441e-36,-0.883715655935371,0.03,0.99,3.09734887836624e-32,7.85987829378534e-35
"Gm15772",1.34494138792103e-36,-2.60059615959016,0.14,1,3.24184672144485e-32,8.10377370602567e-35
"mt-Atp6",1.42282668073684e-36,-3.27148552327089,0.11,1,3.42958143124807e-32,8.44698722078619e-35
"Ccnb1",1.51181082043811e-36,-1.1566814978782,0.1,1,3.64406880158402e-32,8.81004981946367e-35
"Pmf1",1.52762815794515e-36,-0.697777068829148,0.06,0.99,3.68219491191099e-32,8.81004981946367e-35
"Gm14303",1.80836958359288e-36,-2.66618545218232,0.06,1,4.35889404429229e-32,1.02822366323443e-34
"Eef1akmt4",1.98773194017954e-36,-0.45998295585162,0.01,0.96,4.79122906860877e-32,1.11451025590345e-34
"Eno1b",2.38889085710395e-36,-1.92240900029471,0.21,1,5.75818252196337e-32,1.32108936851077e-34
"Birc5",2.42745836320832e-36,-1.239681571809,0.04,0.99,5.85114563867733e-32,1.32427694760432e-34
"Gm43980",2.46203654223121e-36,-1.21949957503589,0.1,1,5.9344928813941e-32,1.32523220279832e-34
"Rpl17",2.72415768538421e-36,-2.4044241661862,0.23,1,6.5663096848501e-32,1.44702954946001e-34
"Ccna2",2.77368764802646e-36,-0.78828106801707,0.02,0.98,6.68569670680298e-32,1.45420480975102e-34
"Vrk1",2.84968667251111e-36,-0.434425645975185,0.07,1,6.86888475542077e-32,1.47489552524709e-34
"Pttg1",2.94288756681024e-36,-1.0964487167596,0.07,0.98,7.09353619103939e-32,1.50385279838138e-34
"Hmga2",3.27554878309393e-36,-0.280440156454943,0.01,0.96,7.8953827867696e-32,1.65292380466877e-34
"Gm37750",3.46776291645682e-36,-4.29024552501202,0.15,1,8.35869573382752e-32,1.72831591280694e-34
"AC129085.1",3.5736827617612e-36,-4.06137826311678,0.18,1,8.61400492894919e-32,1.75938503771097e-34
"Mad2l1",3.64360719759595e-36,-0.703051256557252,0.12,0.99,8.78255078908528e-32,1.77219786225239e-34
"Hist1h2ae",3.74125798517457e-36,-0.658257959062235,0.01,0.96,9.01792824746478e-32,1.79803077216068e-34
"Bub1",3.78877780657764e-36,-0.296965198607348,0.01,0.97,9.13247002497473e-32,1.79944658884164e-34
"Gm14292",4.06916389157584e-36,-0.313987792200721,0,0.95,9.8083126442544e-32,1.86672893526041e-34
"2610318N02Rik",4.06916389157584e-36,-0.33479595525394,0,0.95,9.8083126442544e-32,1.86672893526041e-34
"Cdca5",4.06916389157584e-36,-0.371703610511326,0,0.95,9.8083126442544e-32,1.86672893526041e-34
"Ppp2r1b",4.36836505398043e-36,-0.32813711133977,0.08,0.98,1.05295071261144e-31,1.98147075538416e-34
"Rbpms2",4.49103145503153e-36,-0.811535150719582,0.02,0.97,1.0825182219208e-31,2.01447710932914e-34
"Cdca8",4.99698145827962e-36,-0.660196069352779,0.05,0.99,1.20447241070372e-31,2.21679276341482e-34
"Shmt1",5.16240852957715e-36,-0.631190278826681,0.06,0.97,1.24434695196928e-31,2.26528730803293e-34
"Rps2-ps10",5.52041284731065e-36,-2.37281425170655,0.27,1,1.33064031271576e-31,2.39633404995625e-34
"Plp1",5.59908791682452e-36,4.89081010534334,1,0.2,1.34960415147138e-31,2.40462956598091e-34
"Csnk2b",5.71344604264082e-36,-1.46414560336333,0.12,0.98,1.37716903411814e-31,2.42791386043589e-34
"AC121793.1",6.66171074739106e-36,3.66001786578728,0.99,0.19,1.60573875855114e-31,2.79101077207708e-34
"Rfc4",6.70616905849582e-36,-0.749709849150589,0.04,0.99,1.61645498985983e-31,2.79101077207708e-34
"Fam84a",6.87433183292323e-36,1.25449220996073,0.97,0.08,1.65698894500781e-31,2.83180383770521e-34
"Gm37621",7.40885948987429e-36,-0.53897650236082,0.11,1,1.7858314914393e-31,3.02116825864874e-34
"Hmgb2",7.78259927879038e-36,-1.10097366767365,0.13,1,1.87591773015963e-31,3.14183532884768e-34
"Gm13736",7.86882404125605e-36,-0.688443452644028,0.01,0.95,1.89670134690436e-31,3.14519234203472e-34
"Pole",8.37608260996915e-36,-0.320118914728629,0.05,0.97,2.01897095230696e-31,3.30237115936057e-34
"Ifrd2",8.50227737049704e-36,-0.31987487881301,0.04,0.96,2.04938893738461e-31,3.30237115936057e-34
"Pclaf",8.50747090843445e-36,-0.844915121866384,0.15,1,2.05064078776904e-31,3.30237115936057e-34
"Cenpn",8.68322484525966e-36,-0.298496262639005,0.03,0.96,2.09300451670139e-31,3.33849320955364e-34
"Ccne1",8.9965682880115e-36,-0.823258260485568,0.06,0.97,2.16853282014229e-31,3.42633454516061e-34
"Gm42826",1.01040953824271e-35,1.09416409229558,0.95,0.02,2.43549115098024e-31,3.812171313912e-34
"Akap5",1.02468813315737e-35,1.13278103153908,1,0.24,2.46990827616252e-31,3.8302462903299e-34
"Selenoh",1.05523302359058e-35,-1.5316275335368,0.13,0.98,2.54353368006272e-31,3.9082346020506e-34
"Fkbp11",1.09572084358233e-35,-0.48068671930314,0.01,0.95,2.64112552137084e-31,4.02129549594714e-34
"Ddx39",1.17558614806196e-35,-1.29501602502794,0.27,1,2.83363285128855e-31,4.27553268443796e-34
"Gemin6",1.19165241312276e-35,-0.427378068628076,0.02,0.95,2.87235897659109e-31,4.29526856408622e-34
"Gm10443",1.26792892842482e-35,-2.13253012749132,0.07,1,3.0562158890752e-31,4.52976025137258e-34
"Rpl27-ps3",1.47762377599197e-35,-2.50135367899093,0.32,1,3.56166434965105e-31,5.2326027927014e-34
"Gm38312",1.78319805871117e-35,-1.94364369885436,0.25,1,4.29822060071741e-31,6.15213787369241e-34
"Nt5dc2",1.78765229905424e-35,-1.02381589945012,0.02,0.97,4.30895710164034e-31,6.15213787369241e-34
"Dut",1.787982324079e-35,-1.56854320354365,0.15,0.98,4.30975259396002e-31,6.15213787369241e-34
"Gm14494",1.80687108689664e-35,-1.24253649188667,0.04,1,4.35528206785565e-31,6.15213787369241e-34
"Rps13-ps2",1.81348626943125e-35,-2.1109986180608,0.14,1,4.37122730383709e-31,6.15213787369241e-34
"Rpl3-ps1",1.88684599601009e-35,-2.16451542834643,0.17,1,4.54805358878272e-31,6.34766440491061e-34
"Gm13394",1.92210950042647e-35,-2.76858024891211,0.33,1,4.63305273982796e-31,6.41285624233195e-34
"Igf2bp1",2.12621812997657e-35,-0.426009558797144,0.02,0.98,5.12503618049553e-31,7.0356906481274e-34
"Snrpa",2.17013514517317e-35,-0.974184360841459,0.11,0.99,5.2308937539254e-31,7.12263055371062e-34
"Gpc3",2.32085321460229e-35,-0.77750213093635,0.03,0.95,5.59418458847736e-31,7.55587453818504e-34
"Gas7",2.34573788108614e-35,1.74781129643693,0.99,0.22,5.65416658857004e-31,7.57579506075581e-34
"Haus1",2.41543968831447e-35,-0.491225640545053,0.04,0.98,5.82217582471319e-31,7.67271432000352e-34
"Gm10288",2.41655982055065e-35,-2.00200549589966,0.23,1,5.8248757914553e-31,7.67271432000352e-34
"Mrpl22",2.43276550151214e-35,-0.740959801534646,0.08,0.98,5.86393796484486e-31,7.67271432000352e-34
"Rps23",2.55497819009267e-35,-1.97977846474944,0.38,1,6.15851942939938e-31,7.99569531271637e-34
"Dctpp1",2.67083502749489e-35,-1.44445053337329,0.12,0.99,6.43778075027368e-31,8.29397000461297e-34
"Gm15500",2.71815823486714e-35,-2.65521357107169,0.38,1,6.55184860932375e-31,8.3764922092814e-34
"Gm4332",2.88236408775296e-35,-2.02785038057593,0.31,1,6.94765039711973e-31,8.8152301683778e-34
"Cenpx",2.99242282364708e-35,-0.40663846609198,0.01,0.96,7.21293597411893e-31,9.0830157436566e-34
"Rpl32",3.19004972566038e-35,-3.09628631905152,0.4,1,7.68929585873177e-31,9.61061995708279e-34
"Nme4",3.23449452486796e-35,-0.599824174118117,0.06,0.98,7.79642560274172e-31,9.67233659029032e-34
"Rps27l",3.32001199101807e-35,-2.17753502202286,0.22,1,8.00255690314996e-31,9.85506500569114e-34
"Utp18",3.55898004480451e-35,-0.413056199911212,0.13,0.98,8.57856549999678e-31,1.04873010517342e-33
"Gm42732",3.71824705325786e-35,-1.80838332686491,0.13,1,8.96246269717275e-31,1.08772198217406e-33
"H2afx",4.04790448143736e-35,-1.03546308192066,0.16,1,9.75706896205661e-31,1.1756395965153e-33
"Hk2",4.14562405541306e-35,-0.372636343187829,0.03,0.97,9.99261222316765e-31,1.19542030797875e-33
"Gm4735",4.20715290670723e-35,-1.90098851003576,0.26,1,1.01409213663271e-30,1.20455860172887e-33
"Raly",4.48217932823738e-35,-0.788577859119825,0.08,0.98,1.08038450527834e-30,1.26158430231185e-33
"Galk1",4.49644132291631e-35,-0.706464004177307,0.04,0.96,1.08382221647575e-30,1.26158430231185e-33
"Nup43",4.50007776895978e-35,-0.727606673927158,0.04,0.97,1.08469874543007e-30,1.26158430231185e-33
"Rps15",4.7509135263463e-35,-2.42941922547507,0.44,1,1.14516019639051e-30,1.30801451865918e-33
