"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"ESPN",4.86124857570727e-13,-0.288824887830494,0.122,0.58,1.38973374282319e-08,4.96359065098531e-12
"SELL",1.03633260229880e-12,0.778645843323651,0.973,0.883,2.96266764345182e-08,1.03990616299639e-11
"TNFSF13B",1.66583677004704e-12,-1.13326646632218,1,1,4.76229415821048e-08,1.64324915282606e-11
"ITGAM",1.76291504652202e-12,0.305123812281796,0.446,0.141,5.03982153499715e-08,1.71002759512636e-11
"GSAP",3.58566295613079e-12,0.331091657750642,0.473,0.153,1.02506932589867e-07,3.42107514830839e-11
"S100A4",5.71465186800537e-12,-0.957114124437307,0.743,0.92,1.63370467602537e-07,5.36439901157923e-11
"TXK",6.66682857487323e-12,0.700413455748974,0.932,0.704,1.90591295298476e-07,6.12589742812537e-11
"ADAM19",6.7363820515468e-12,-0.389278987990872,0.365,0.681,1.9257969008962e-07,6.12589742812537e-11
"CCR1",7.00650538909236e-12,0.344795632976856,0.243,0.042,2.00301976063372e-07,6.2735171330027e-11
"LYST",8.60942778805654e-12,0.565678113171168,0.568,0.239,2.4612632160496e-07,7.59194995855895e-11
"PVRIG",9.55887688121303e-12,0.560834970913935,0.5,0.183,2.73269172280118e-07,8.30338260427758e-11
"FCER1G",1.02939648750154e-11,0.815911159656139,0.892,0.713,2.94283867846941e-07,8.81042287832204e-11
"JAK1",2.45484196945399e-11,0.504000670343199,0.919,0.767,7.01790222227506e-07,2.07060583510467e-10
"B4GALT1",2.81720724931366e-11,0.414434849706328,0.986,0.991,8.0538320843379e-07,2.34230659871507e-10
"AC136475.9",3.29989910845665e-11,0.26798486610134,0.122,0.007,9.43375157125588e-07,2.70498771988982e-10
"COTL1",4.23432051471005e-11,0.727168207632559,0.851,0.634,1.21050754874531e-06,3.42274241605729e-10
"CXCR3",5.7744231958663e-11,0.369371897740787,0.378,0.11,1.65079210323426e-06,4.60371821917011e-10
"JAML",7.15395012283448e-11,-1.3011640184486,0.581,0.791,2.04517126111592e-06,5.62648509660766e-10
"SH2D1B",9.37418539204118e-11,0.723187861806547,0.865,0.606,2.67989211987673e-06,7.27436786422396e-10
"IFITM1",1.10836756834938e-10,0.585829289519137,0.973,0.925,3.16860120439721e-06,8.4877621681492e-10
"AC244502.1",1.34495871172607e-10,0.255892510425784,0.946,0.606,3.84496796508249e-06,1.01657918210984e-09
"ZMAT4",2.29908068964275e-10,0.377311993868185,0.122,0.009,6.5726118755507e-06,1.71546789919498e-09
"LINC00996",3.02606255724509e-10,0.357213973570196,0.784,0.49,8.65090763865227e-06,2.22932709913499e-09
"ID2",3.12779077226761e-10,0.516408715871211,0.986,0.887,8.94172825975865e-06,2.27546778682469e-09
"IFITM3",5.14053489883003e-10,0.704473569511164,0.932,0.78,1.46957611687753e-05,3.6935695199001e-09
"CLDND1",6.30857645283594e-10,0.849762788536525,0.838,0.603,1.80349583633674e-05,4.4775506043299e-09
"S100A6",8.51452482465323e-10,-0.955098959936445,0.365,0.652,2.43413235687187e-05,5.97042584090142e-09
"IL18RAP",1.35448189064779e-09,0.776772974295942,0.622,0.352,3.87219282898391e-05,9.38462452805972e-09
"SYTL3",1.42626815552772e-09,0.556240717411897,0.514,0.232,4.07741540302265e-05,9.76574195902511e-09
"LINC00861",3.51904993695238e-09,0.767135488098556,0.676,0.394,0.000100602599597595,2.38149658523987e-08
"HVCN1",4.48073847859215e-09,0.51925310445187,0.568,0.284,0.000128095351625992,2.99745953395475e-08
"CHST12",4.53949666394681e-09,0.488418843088952,0.986,0.962,0.000129775130628911,3.00225802092846e-08
"SH2D1A",7.91222184784734e-09,0.793914222033439,0.419,0.179,0.00022619459818626,5.1740596802777e-08
"RAMP1",1.41395790557183e-08,0.514107212130569,0.149,0.021,0.000404222286044874,9.14359445603116e-08
"AC017104.1",1.45267790596364e-08,0.360348030805375,0.216,0.045,0.000415291559756887,9.29075320077848e-08
"PARP8",2.38569120062629e-08,0.607232009222646,0.838,0.659,0.000682021400435045,1.50920899865707e-07
"WDR74",3.00477529434565e-08,0.559593949784581,0.919,0.803,0.000859005161147535,1.88040776484857e-07
