"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"CD3D",5.25128910064376e-97,1.95669743008377,0.945,0.077,1.50123852809204e-92,3.33456857890879e-94
"SIT1",1.04979894491201e-80,0.820302995456967,0.661,0.012,3.00116522371445e-76,3.33311165009562e-78
"CD5",2.94634654798217e-63,0.478428391554303,0.614,0.035,8.42301551137142e-59,6.23643352656225e-61
"CD27",1.02248560389877e-59,0.744565040683457,0.717,0.079,2.92308184442581e-55,1.6231958961893e-57
"CD4",5.04467039013109e-58,0.818091723374164,0.717,0.09,1.44217037113068e-53,6.40673139546648e-56
"CD3G",4.69883691507038e-51,1.24482025580135,0.976,0.532,1.34330349728032e-46,4.97293573511616e-49
"CD6",1.86117105520791e-39,0.69211149464826,0.835,0.307,5.32071581262836e-35,1.68834802865289e-37
"AL121845.2",6.29695847085588e-36,0.401424717549911,0.598,0.104,1.80017448764828e-31,4.99821078624186e-34
"TRDC",2.99310329030041e-35,-1.73105335281272,0.197,0.804,8.5566836863108e-31,2.11180065482306e-33
"MAL",4.63647451132841e-35,0.572379738481582,0.402,0.031,1.32547533329857e-30,2.94416131469354e-33
"LIME1",6.00776443907098e-34,0.696339221260042,0.614,0.123,1.71749969784161e-29,3.46811856255461e-32
"AC244502.1",4.75686918901209e-32,-0.850367960600107,0.157,0.764,1.35989376375478e-27,2.44915235938165e-30
"CCR7",5.01401270424591e-32,0.739646303976393,0.945,0.397,1.43340595188982e-27,2.44915235938165e-30
"RPS27",2.73486434593276e-31,0.409500135600493,1,1,7.81843019215259e-27,1.24045632833379e-29
"TC2N",4.20276461097324e-30,0.586904957931771,0.882,0.342,1.20148634698503e-25,1.77917035197867e-28
"AC010970.1",1.82880001104016e-29,0.719467849202174,1,1,5.22817347156161e-25,7.25805004381563e-28
"SH2D1B",5.30192874372745e-29,-1.0079929458272,0.228,0.735,1.5157153892568e-24,1.9804263248629e-27
"RPL21P16",1.97519117246562e-27,0.65815587580007,1,0.898,5.64667652384472e-23,6.88972675176815e-26
"RPL27A",2.06149304383614e-27,0.626732620641854,1,0.965,5.89339631371875e-23,6.88972675176815e-26
"TNFSF8",3.43756752929857e-27,0.414410562768214,0.48,0.086,9.82731805275876e-23,1.0914276905523e-25
"KLRB1",5.29428769965054e-27,-0.964009199691815,0.591,0.948,1.5135309675761e-22,1.60089175679909e-25
"RPS29",2.11848477687179e-26,0.658998404492929,1,0.962,6.05632428012108e-22,6.11471742415267e-25
"RPS12",3.17186274698796e-26,0.85296591234453,0.984,0.81,9.06772122108919e-22,8.7570993232059e-25
"LITAF",4.75555460123921e-26,0.551759890854671,0.756,0.292,1.35951794940227e-21,1.25824048824454e-24
"AMFR",6.16492920643851e-26,-0.547534150257804,1,1,1.76242996153664e-21,1.56589201843538e-24
"GZMM",8.19867463109893e-26,0.32697086784574,0.346,0.038,2.34383710353856e-21,2.00236861182608e-24
"CD3E",1.69587594096941e-25,0.615417302356674,0.929,0.478,4.84817014004335e-21,3.98844897227991e-24
"RPLP2",1.23795357039926e-24,0.651862302139422,1,0.91,3.53906166705741e-20,2.80750184715547e-23
"JUNB",3.95742606856178e-24,1.31351262722936,1,0.77,1.13134896448044e-19,8.66539846047149e-23
"PLEKHB1",4.69760508063569e-24,0.319894979476862,0.236,0.01,1.34295134045213e-19,9.94326408734555e-23
"TOB1",5.63260278501458e-24,0.713608041957479,0.937,0.555,1.61024848417997e-19,1.10485231545515e-22
"KIT",5.69643676776463e-24,-0.570273311880896,0.094,0.616,1.62849734316855e-19,1.10485231545515e-22
"PCDH9",5.74175219055433e-24,-0.548033552475431,0.984,0.99,1.64145211623567e-19,1.10485231545515e-22
"FCER1G",6.59304689304504e-24,-1.54500284363365,0.433,0.806,1.88482024578371e-19,1.23134846384812e-22
"LST1",8.17856781621268e-24,-1.72053925344236,0.717,0.893,2.33808896729888e-19,1.45173686744581e-22
"RPL13A",8.23031924851169e-24,0.51858857147276,1,0.975,2.35288366676452e-19,1.45173686744581e-22
"MT-CO1",1.12371534234553e-23,-0.461130141717699,1,1,3.21247742069741e-19,1.92853849294436e-22
"LBH",1.16286021607946e-23,0.534198397286204,0.74,0.33,3.32438478572796e-19,1.94320062423804e-22
"RASGEF1B",1.27769009410719e-23,-0.321411285451777,1,1,3.65266044103362e-19,2.08034156348221e-22
"GRAP2",1.67317118230283e-23,0.40880366445051,0.402,0.069,4.78326177596733e-19,2.65615925190574e-22
"RPL36A",2.2615013131404e-23,0.850204691185454,0.953,0.781,6.46517995400576e-19,3.50256910693695e-22
"RPL21",7.3487688480334e-23,0.47813127119403,1,0.988,2.10086603827579e-18,1.11106386154791e-21
"TRAV13-1",9.88718506408159e-23,1.14114007505112,0.189,0.002,2.82654846611965e-18,1.46008430597484e-21
"CXCR3",4.52408776744749e-22,0.333522225488409,0.409,0.075,1.29334621095789e-17,6.52908120983899e-21
"TYROBP",2.64399613108777e-21,-1.30049199732986,0.15,0.624,7.55865613955372e-17,3.73097231831274e-20
"TRAV8-2",8.43598820417905e-21,0.326836385879901,0.173,0.002,2.41168030781071e-16,1.16453315427254e-19
"CH25H",8.97058788105207e-21,0.361813727566188,0.291,0.035,2.56451166343516e-16,1.21198368180172e-19
"FCMR",1.01086971770793e-20,0.712740554418682,0.906,0.511,2.88987434898344e-16,1.33729639738445e-19
"RPS3",1.41564740355192e-20,0.599787506718336,1,0.964,4.04705279727424e-16,1.83456347194994e-19
"XCL1",3.00962144714851e-20,-0.819198682620292,0.134,0.593,8.60390579310816e-16,3.82221923787861e-19
"NCALD",5.53028549472802e-20,-0.427412211113448,1,1,1.58099801723285e-15,6.88574762578881e-19
"MT-CO2",5.72302698443008e-20,-0.470976131198858,1,1,1.63609895430887e-15,6.98869641367904e-19
