"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"HPGDS",2.2940306098095e-63,1.13471677277495,0.576,0.02,6.55817470732341e-59,1.14930933551456e-60
"CD2",7.61598205052313e-56,-1.89035873151028,0.201,0.929,2.17725694860355e-51,1.90780350365604e-53
"KRT1",9.60449112014023e-54,1.08652570116366,0.54,0.031,2.74573192142569e-49,1.60395001706342e-51
"PTGDR2",8.26385592533185e-51,0.445222161277898,0.525,0.033,2.36247113193387e-46,1.03504795464781e-48
"IL17RB",1.25283984891874e-49,1.01858540495381,0.576,0.057,3.5816185600889e-45,1.25534552861658e-47
"IL32",9.98551921875174e-40,1.20606720150427,0.993,0.802,2.85466023425675e-35,8.3379085476577e-38
"FSTL4",1.27118940294105e-39,0.597229751427991,0.518,0.061,3.63407626512786e-35,9.0980841553352e-38
"HPGD",1.44582827308394e-37,0.672601448361343,0.453,0.043,4.13333386709236e-33,8.45413872508176e-36
"IL9R",1.51870755540391e-37,0.708804181943551,0.403,0.028,4.34168115938869e-33,8.45413872508176e-36
"C10orf128",1.05967491950871e-34,0.787174033579953,0.446,0.051,3.0293986598915e-30,5.30897134673863e-33
"SLAMF1",8.20841194922961e-33,0.723532805946475,0.705,0.191,2.34662080804576e-28,3.73855853324003e-31
"A2M",6.1373613991557e-32,0.547297687120408,0.554,0.112,1.75454887679063e-27,2.5623483841475e-30
"TXK",5.7640148697596e-30,-1.09009949547487,0.381,0.825,1.64781657096687e-25,2.22136265365351e-28
"GATA3",1.22538748567406e-29,0.74406765754064,0.95,0.621,3.503137744045e-25,4.38513664516217e-28
"TYROBP",3.72742364473207e-28,-1.57336627325012,0.115,0.644,1.065595871556e-23,1.24495949734051e-26
"PTGER2",4.2474775560152e-28,0.578046260185685,0.597,0.149,1.21426888371363e-23,1.32999140972726e-26
"XCL1",2.37595727323833e-27,-1.05853755521717,0.094,0.615,6.79238665273373e-23,7.0020858464259e-26
"IL23R",5.30003868401638e-27,-0.918125864170981,0.165,0.648,1.5151750589866e-22,1.47517743371789e-25
"KLRG1",3.13736968160029e-26,0.974860241235566,0.719,0.308,8.96911244575891e-22,8.27274847621971e-25
"CD69",3.54877460073494e-26,1.11195938943506,1,0.996,1.0145236828581e-21,8.88968037484102e-25
"IL10RA",4.63615025947979e-25,0.585308953078661,0.806,0.348,1.32538263618008e-20,1.10605299047589e-23
"FCRL3",2.1348401110158e-24,0.532129138178302,0.554,0.145,6.10308090937196e-20,4.86161316190415e-23
"IL1RL1",3.49606629487588e-24,0.480773024955121,0.317,0.035,9.99455432379118e-20,7.61534440753399e-23
"CSGALNACT1",5.61567928815409e-24,0.51414074065357,0.597,0.189,1.60541039489749e-19,1.17227305140217e-22
"FP236383.2",6.4898338242649e-24,-1.61146224843831,1,1,1.85531369368085e-19,1.20422472072471e-22
"FP236383.3",6.4898338242649e-24,-1.61146224843831,1,1,1.85531369368085e-19,1.20422472072471e-22
"FP671120.3",6.4898338242649e-24,-1.61146224843831,1,1,1.85531369368085e-19,1.20422472072471e-22
"TRAC",3.75529578829841e-23,-1.04673028677903,0.511,0.862,1.07356395995875e-18,6.71929710691966e-22
"IL2RB",9.28737361121058e-23,-0.74344826892377,0.381,0.749,2.65507436797288e-18,1.60447385490224e-21
"TESPA1",6.48429903698103e-22,0.726138257216744,0.892,0.513,1.85373140869214e-17,1.08287793917583e-20
"AC010970.1",8.31223150138917e-22,-0.618939052230906,1,1,2.37630074161714e-17,1.34336386522451e-20
"ANXA1",1.0548286943116e-21,0.880753914961789,1,0.925,3.015544271298e-17,1.6514661745316e-20
"RPS25",1.18455909823255e-21,0.668387937601484,0.993,0.957,3.3864175500272e-17,1.7983760854985e-20
"ZP1",1.25994829040765e-21,0.437303296476416,0.216,0.01,3.6019401726174e-17,1.85657086321834e-20
"SH2D1B",3.22980727298218e-21,-1.02841291699969,0.353,0.713,9.23337303200146e-17,4.62323841075449e-20
"KRT86",4.73086794759224e-21,-0.84391904400459,0.036,0.481,1.35246052885767e-16,6.58379122706587e-20
"S100A6",6.97617002185461e-21,0.884872003621438,0.856,0.554,1.99434748584779e-16,9.44611129986259e-20
"VWA5A",7.67317736383081e-21,-0.70321140219343,0.165,0.601,2.19360794477195e-16,1.01164785770506e-19
"EMP3",9.57235833164449e-21,0.762118783720073,0.871,0.517,2.73654579985053e-16,1.22967987798818e-19
"KLRC1",2.74672646992169e-20,-1.21664385681876,0.245,0.642,7.85234163221213e-16,3.44027490357692e-19
"XCL2",3.83620999417555e-20,-1.41266431814937,0.216,0.607,1.09669571313491e-15,4.68766148068768e-19
"CD300LF",3.98053106775133e-20,-0.796348697399597,0.029,0.462,1.13795422164875e-15,4.74820491653195e-19
"LINC01871",5.27788825258398e-20,-1.76519731229278,0.036,0.468,1.50884269364871e-15,6.14935352219669e-19
"LINC01229",1.00170435827087e-19,0.459997456604635,0.201,0.01,2.86367241942475e-15,1.14057700794024e-18
"LTA4H",1.1805016907099e-18,-0.948711455961679,0.309,0.67,3.37481823340147e-14,1.31429188232369e-17
"KRT81",2.05197889150131e-18,-0.485748541214051,0.043,0.448,5.86619725502395e-14,2.23487266226556e-17
"TMIGD2",3.42863687352712e-18,-0.814108543827569,0.187,0.572,9.80178709403934e-14,3.65478100773849e-17
"CD3E",6.78165243942551e-18,-0.58379920429003,0.245,0.654,1.93873879938296e-13,7.07834973365038e-17
"FTH1",2.32152283038958e-17,0.635602263142787,0.993,0.976,6.63676946751772e-13,2.37363864903097e-16
"FCER1G",3.71818274261615e-17,-1.38271707634358,0.568,0.778,1.0629540824591e-12,3.72561910810138e-16
"PRKCH",5.16487412137903e-17,-0.456421061889692,0.317,0.692,1.47653421381984e-12,5.07372928394293e-16
"SAMSN1",5.69280312408373e-17,0.652909054983961,0.691,0.312,1.62745855711306e-12,5.48479685608837e-16
"RGS18",6.3206328337738e-17,0.330146305972413,0.302,0.055,1.80694251451925e-12,5.97478688626542e-16
"DUSP1",7.02701021892874e-17,0.682714103948714,1,0.996,2.00888168138735e-12,6.51950392533944e-16
"TOX2",9.69159636869134e-17,-0.422320585582479,0.022,0.397,2.77063356988148e-12,8.82816323766248e-16
"GAP43",1.19724974782939e-16,0.295717443524314,0.209,0.02,3.42269757909465e-12,1.05684277526029e-15
"ADAM19",1.20239597185303e-16,0.358137012974099,0.871,0.583,3.43740960433344e-12,1.05684277526029e-15
"GSN",1.52510218373544e-16,-0.848820541618246,0.417,0.694,4.35996212286289e-12,1.31737274836458e-15
"LOXL1",2.30212291877899e-16,0.357794630179287,0.216,0.024,6.58130900020538e-12,1.95485352933606e-15
"HLA-DRB1",2.38654229556896e-16,-0.429179057615891,0.122,0.521,6.82264711457253e-12,1.99276281680008e-15
"C1orf162",2.45558947744341e-16,0.764574211852784,0.727,0.407,7.02003919811522e-12,2.01680381671991e-15
"LINC00299",2.74814919422606e-16,-0.689507187695244,0.144,0.523,7.85640891645345e-12,2.22068184888267e-15
"MT-RNR1",3.80388822469774e-16,-0.908586890932155,1,0.996,1.08745556567659e-11,3.02499682630725e-15
"ATP8B4",6.07848410711259e-16,-0.428315260559674,0.036,0.397,1.73771703654135e-11,4.75831334009907e-15
"AC010175.1",6.77226194813592e-16,0.338276452590504,0.144,0.004,1.9360542457331e-11,5.21985113233246e-15
"PTGDR",1.12706720909177e-15,-0.42945784973091,0.079,0.448,3.22205973735156e-11,8.55546472356027e-15
"CD200R1",1.60767740147351e-15,0.4854998414576,0.763,0.411,4.59602815533248e-11,1.20215877334064e-14
"KIT",1.69959815519461e-15,-0.459104338354156,0.209,0.597,4.85881120607035e-11,1.25220393493015e-14
"TNFRSF19",2.27229651596563e-15,0.271716696537129,0.288,0.059,6.49604127984255e-11,1.64988486159244e-14
"SPINK2",3.49673347200536e-15,-1.14416795452363,0.036,0.391,9.99646164976892e-11,2.50266209924955e-14
"S100A4",3.95968854648937e-15,0.702749471591027,0.971,0.88,1.13199576167038e-10,2.79409008702983e-14
