"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","adj_p_val"
"SEC63",0.0545188147078169,0.319531628469761,0.545,0.503,1,0.0566262646881191
"GNLY",0.057940463947047,-1.59889906646214,0.841,0.771,1,0.0600792059048239
"RAB18",0.0587213377950016,0.268832174282489,0.38,0.312,1,0.0607869124913082
"ARL6IP5",0.0588343277772294,0.254917280063501,0.883,0.841,1,0.0608020310473708
"UBE2V2",0.0654123226174771,0.287485656398108,0.633,0.618,1,0.0674871709141917
"POLR2F",0.0739214095263337,0.296498988203285,0.549,0.521,1,0.0761390518121237
"ISY1",0.0891897123869401,0.251541738898928,0.692,0.671,1,0.0917125495093661
"YME1L1",0.100078348723897,0.273198998663432,0.841,0.832,1,0.102738238390977
"METTL17",0.127972160645991,0.25981663844107,0.513,0.488,1,0.131155547726737
"ROMO1",0.135062015214631,0.29249641470991,0.468,0.459,1,0.138192591726228
"TAX1BP1",0.167944557616865,0.255144549042979,0.617,0.626,1,0.171553283648302
"WDR48",0.194233261086995,0.260360119443473,0.334,0.3,1,0.198079464276837
"NDUFA2",0.203620477061486,0.303968742876852,0.506,0.482,1,0.207310469232287
"TM2D3",0.222797173347483,0.251065956069299,0.591,0.594,1,0.226461600540698
"TMEM167A",0.233033742459155,0.258984061744619,0.383,0.353,1,0.236477590869881
"SMIM26",0.309088108284104,0.252197553761912,0.386,0.368,1,0.313141722818977
"CMC1",0.327939830230297,-0.61281548008631,0.321,0.329,1,0.331696915028353
"RNPC3",0.388970588712302,0.270195789780855,0.302,0.285,1,0.39278402585654
"CALM3",0.489893001087493,0.32521415030827,0.435,0.441,1,0.493888865696689
"KBTBD2",0.490856296795038,0.260325195791523,0.672,0.659,1,0.494054057686211
"KDELR2",0.546371308771015,0.251874148814578,0.253,0.247,1,0.549036534667459
"FP236383.2",0.826873780886783,-0.301336795105053,1,1,1,0.826873780886783
"FP236383.3",0.826873780886783,-0.301336795105053,1,1,1,0.826873780886783
"FP671120.3",0.826873780886783,-0.301336795105053,1,1,1,0.826873780886783
